Date,nth day in year,Storage (mcft),Inflow (cusecs),Rainfall (mm),Outflow (cusecs)
01/01/2018,0,1842,0,0,57
02/01/2018,1,1837,0,0,56
03/01/2018,2,1832,0,0,56
04/01/2018,3,1827,0,0,56
05/01/2018,4,1822,0,0,55
06/01/2018,5,1820,0,0,19
07/01/2018,6,1818,0,0,19
08/01/2018,7,1816,0,0,25
09/01/2018,8,1814,0,0,19
10/01/2018,9,1810,0,0,43
11/01/2018,10,1804,0,0,74
12/01/2018,11,1799,0,0,57
13/01/2018,12,1793,0,0,68
14/01/2018,13,1787,0,0,69
15/01/2018,14,1781,0,0,68
16/01/2018,15,1775,0,0,68
17/01/2018,16,1769,0,0,65
18/01/2018,17,1764,0,0,57
19/01/2018,18,1759,0,0,57
20/01/2018,19,1753,0,0,71
21/01/2018,20,1748,0,0,58
22/01/2018,21,1743,0,0,57
23/01/2018,22,1738,0,0,56
24/01/2018,23,1733,0,0,57
25/01/2018,24,1728,0,0,57
26/01/2018,25,1723,0,0,54
27/01/2018,26,1718,0,0,57
28/01/2018,27,1713,0,0,57
29/01/2018,28,1708,0,0,57
30/01/2018,29,1703,0,0,56
31/01/2018,30,1698,0,0,61
01/02/2018,31,1693,0,0,60
02/02/2018,32,1688,0,0,61
03/02/2018,33,1683,0,0,61
04/02/2018,34,1676,0,0,78
05/02/2018,35,1669,0,0,78
06/02/2018,36,1662,0,0,78
07/02/2018,37,1656,0,0,73
08/02/2018,38,1650,0,13,73
09/02/2018,39,1645,0,0,74
10/02/2018,40,1639,0,0,74
11/02/2018,41,1632,0,0,84
12/02/2018,42,1625,0,0,84
13/02/2018,43,1618,0,0,84
14/02/2018,44,1611,0,0,79
15/02/2018,45,1604,0,0,79
16/02/2018,46,1597,0,0,79
17/02/2018,47,1590,0,0,80
18/02/2018,48,1583,0,0,79
19/02/2018,49,1576,0,0,80
20/02/2018,50,1570,0,0,79
21/02/2018,51,1563,0,0,80
22/02/2018,52,1556,0,0,80
23/02/2018,53,1549,0,0,80
24/02/2018,54,1542,0,0,80
25/02/2018,55,1535,0,0,80
26/02/2018,56,1528,0,0,79
27/02/2018,57,1521,0,0,79
28/02/2018,58,1514,0,0,79
01/03/2018,59,1507,0,0,80
02/03/2018,60,1500,0,0,85
03/03/2018,61,1492,0,0,90
04/03/2018,62,1484,0,0,90
05/03/2018,63,1475,0,0,90
06/03/2018,64,1467,0,0,90
07/03/2018,65,1459,0,0,98
08/03/2018,66,1451,0,0,95
09/03/2018,67,1443,0,0,95
10/03/2018,68,1435,0,0,94
11/03/2018,69,1427,0,0,95
12/03/2018,70,1418,0,0,102
13/03/2018,71,1409,0,0,102
14/03/2018,72,1399,0,0,109
15/03/2018,73,1389,0,0,111
16/03/2018,74,1379,0,0,119
17/03/2018,75,1369,0,0,117
18/03/2018,76,1359,0,2,117
19/03/2018,77,1348,0,0,119
20/03/2018,78,1338,0,0,119
21/03/2018,79,1328,0,0,119
22/03/2018,80,1317,0,0,121
23/03/2018,81,1306,0,0,121
24/03/2018,82,1296,0,0,121
25/03/2018,83,1285,0,0,126
26/03/2018,84,1274,0,0,125
27/03/2018,85,1262,0,0,132
28/03/2018,86,1251,0,0,132
29/03/2018,87,1239,0,0,131
30/03/2018,88,1228,0,0,124
31/03/2018,89,1220,0,0,86
01/04/2018,90,1215,0,0,57
02/04/2018,91,1206,0,0,102
03/04/2018,92,1196,0,0,113
04/04/2018,93,1186,0,0,113
05/04/2018,94,1176,0,0,111
06/04/2018,95,1166,0,0,117
07/04/2018,96,1155,0,0,124
08/04/2018,97,1144,0,0,131
09/04/2018,98,1133,0,0,131
10/04/2018,99,1122,0,0,131
11/04/2018,100,1111,0,0,131
12/04/2018,101,1100,0,0,127
13/04/2018,102,1089,0,0,123
14/04/2018,103,1078,0,0,123
15/04/2018,104,1067,0,0,123
16/04/2018,105,1056,0,0,124
17/04/2018,106,1045,0,0,123
18/04/2018,107,1034,0,0,123
19/04/2018,108,1023,0,0,134
20/04/2018,109,1012,0,0,124
21/04/2018,110,1022,240,0,124
22/04/2018,111,1040,331,0,123
23/04/2018,112,1062,379,0,124
24/04/2018,113,1092,461,0,113
25/04/2018,114,1122,461,0,114
26/04/2018,115,1147,403,0,114
27/04/2018,116,1162,286,0,113
28/04/2018,117,1171,215,0,111
29/04/2018,118,1180,215,0,111
30/04/2018,119,1189,215,0,111
01/05/2018,120,1198,215,0,111
02/05/2018,121,1207,215,0,111
03/05/2018,122,1217,226,0,111
04/05/2018,123,1226,226,0,121
05/05/2018,124,1235,226,0,121
06/05/2018,125,1245,235,0,119
07/05/2018,126,1254,222,0,118
08/05/2018,127,1262,210,0,117
09/05/2018,128,1269,198,0,117
10/05/2018,129,1275,193,0,124
11/05/2018,130,1281,174,0,105
12/05/2018,131,1287,182,0,113
13/05/2018,132,1293,183,0,114
14/05/2018,133,1299,182,0,113
15/05/2018,134,1305,183,0,114
16/05/2018,135,1311,182,0,113
17/05/2018,136,1317,182,0,114
18/05/2018,137,1322,177,0,119
19/05/2018,138,1327,180,0,122
20/05/2018,139,1332,181,0,123
21/05/2018,140,1332,122,0,122
22/05/2018,141,1322,0,0,123
23/05/2018,142,1311,0,0,130
24/05/2018,143,1301,0,0,122
25/05/2018,144,1291,0,0,123
26/05/2018,145,1280,0,0,126
27/05/2018,146,1269,0,0,126
28/05/2018,147,1258,0,0,126
29/05/2018,148,1247,0,0,126
30/05/2018,149,1236,0,0,126
31/05/2018,150,1225,0,0,127
01/06/2018,151,1214,0,0,126
02/06/2018,152,1203,0,0,126
03/06/2018,153,1192,0,0,127
04/06/2018,154,1181,0,0,127
05/06/2018,155,1170,0,0,127
06/06/2018,156,1160,0,0,126
07/06/2018,157,1148,0,45,138
08/06/2018,158,1138,0,0,118
09/06/2018,159,1128,0,0,118
10/06/2018,160,1118,0,0,118
11/06/2018,161,1108,0,0,119
12/06/2018,162,1098,0,0,118
13/06/2018,163,1088,0,0,118
14/06/2018,164,1078,0,0,119
15/06/2018,165,1068,0,0,118
16/06/2018,166,1057,0,4,126
17/06/2018,167,1047,0,0,118
18/06/2018,168,1037,0,0,119
19/06/2018,169,1027,0,0,119
20/06/2018,170,1017,0,0,118
21/06/2018,171,1007,0,0,118
22/06/2018,172,997,0,0,119
23/06/2018,173,987,0,0,118
24/06/2018,174,977,0,0,119
25/06/2018,175,967,0,0,118
26/06/2018,176,957,0,0,119
27/06/2018,177,947,0,0,122
28/06/2018,178,936,0,0,122
29/06/2018,179,926,0,0,117
30/06/2018,180,916,0,0,118
01/07/2018,181,906,0,0,118
02/07/2018,182,896,0,16,119
03/07/2018,183,896,119,47,119
04/07/2018,184,886,0,0,118
05/07/2018,185,876,0,0,118
06/07/2018,186,866,0,0,119
07/07/2018,187,856,0,0,117
08/07/2018,188,847,0,0,109
09/07/2018,189,837,0,0,119
10/07/2018,190,827,0,0,117
11/07/2018,191,816,0,0,123
12/07/2018,192,810,46,30,115
13/07/2018,193,800,0,2,113
14/07/2018,194,791,0,12,102
15/07/2018,195,782,0,0,106
16/07/2018,196,774,0,0,99
17/07/2018,197,764,0,0,105
18/07/2018,198,756,0,0,102
19/07/2018,199,747,0,0,101
20/07/2018,200,738,0,0,101
21/07/2018,201,729,0,0,109
22/07/2018,202,720,0,0,101
23/07/2018,203,710,0,0,105
24/07/2018,204,701,0,0,109
25/07/2018,205,692,0,5,111
26/07/2018,206,682,0,0,109
27/07/2018,207,673,0,0,109
28/07/2018,208,664,0,0,109
29/07/2018,209,655,0,0,103
30/07/2018,210,646,0,0,101
31/07/2018,211,637,0,0,103
01/08/2018,212,628,0,12,103
02/08/2018,213,619,0,0,103
03/08/2018,214,610,0,0,103
04/08/2018,215,600,0,12,124
05/08/2018,216,590,0,5,121
06/08/2018,217,579,0,0,125
07/08/2018,218,572,0,0,86
08/08/2018,219,565,0,4,85
09/08/2018,220,556,0,7,99
10/08/2018,221,548,0,2,94
11/08/2018,222,541,0,4,79
12/08/2018,223,536,0,1,61
13/08/2018,224,531,0,0,61
14/08/2018,225,526,0,6,61
15/08/2018,226,526,61,53,61
16/08/2018,227,521,0,3,57
17/08/2018,228,516,0,0,57
18/08/2018,229,511,0,0,57
19/08/2018,230,506,0,0,57
20/08/2018,231,501,0,0,57
21/08/2018,232,496,0,0,58
22/08/2018,233,491,0,0,58
23/08/2018,234,486,0,0,57
24/08/2018,235,481,0,0,65
25/08/2018,236,476,0,0,57
26/08/2018,237,472,0,0,52
27/08/2018,238,467,0,0,52
28/08/2018,239,463,0,11,52
29/08/2018,240,458,0,0,52
30/08/2018,241,454,0,0,52
31/08/2018,242,450,0,7,52
01/09/2018,243,445,0,0,52
02/09/2018,244,441,0,4,52
03/09/2018,245,437,0,0,52
04/09/2018,246,432,0,0,53
05/09/2018,247,428,0,0,52
06/09/2018,248,423,0,0,60
07/09/2018,249,418,0,0,52
08/09/2018,250,412,0,0,68
09/09/2018,251,408,0,0,52
10/09/2018,252,403,0,0,52
11/09/2018,253,398,0,0,52
12/09/2018,254,394,0,0,52
13/09/2018,255,390,0,0,53
14/09/2018,256,385,0,14,53
15/09/2018,257,381,0,0,53
16/09/2018,258,374,0,2,81
17/09/2018,259,380,122,37,53
18/09/2018,260,386,122,35,53
19/09/2018,261,394,144,43,52
20/09/2018,262,389,0,2,60
21/09/2018,263,385,0,0,53
22/09/2018,264,380,0,0,53
23/09/2018,265,376,0,0,53
24/09/2018,266,371,0,0,53
25/09/2018,267,366,0,0,60
26/09/2018,268,362,0,0,52
27/09/2018,269,357,0,0,52
28/09/2018,270,353,0,0,52
29/09/2018,271,348,0,0,60
30/09/2018,272,343,0,0,60
01/10/2018,273,338,0,0,60
02/10/2018,274,333,0,0,60
03/10/2018,275,328,0,0,60
04/10/2018,276,323,0,3,61
05/10/2018,277,328,119,45,60
06/10/2018,278,334,111,22,42
07/10/2018,279,330,0,0,42
08/10/2018,280,327,0,0,42
09/10/2018,281,323,0,0,42
10/10/2018,282,320,0,0,42
11/10/2018,283,316,0,0,42
12/10/2018,284,313,0,0,42
13/10/2018,285,307,0,0,67
14/10/2018,286,303,0,0,47
15/10/2018,287,299,0,0,47
16/10/2018,288,295,0,0,47
17/10/2018,289,290,0,0,55
18/10/2018,290,286,0,5,50
19/10/2018,291,282,0,1,50
20/10/2018,292,278,0,3,50
21/10/2018,293,274,0,9,50
22/10/2018,294,270,0,0,50
23/10/2018,295,266,0,0,50
24/10/2018,296,262,0,0,46
25/10/2018,297,258,0,0,42
26/10/2018,298,254,0,0,42
27/10/2018,299,249,0,0,54
28/10/2018,300,245,0,0,42
29/10/2018,301,241,0,0,42
30/10/2018,302,238,0,0,42
31/10/2018,303,235,0,13,42
01/11/2018,304,232,0,35,37
02/11/2018,305,229,0,7,37
03/11/2018,306,225,0,0,43
04/11/2018,307,221,0,0,45
05/11/2018,308,217,0,3,45
06/11/2018,309,213,0,5,45
07/11/2018,310,209,0,0,45
08/11/2018,311,206,0,0,41
09/11/2018,312,202,0,0,41
10/11/2018,313,198,0,0,41
11/11/2018,314,195,0,0,41
12/11/2018,315,191,0,0,41
13/11/2018,316,188,0,0,41
14/11/2018,317,184,0,0,41
15/11/2018,318,180,0,1,41
16/11/2018,319,177,0,4,41
