Date,nth day in year,Storage (mcft),Inflow (cusecs),Rainfall (mm),Outflow (cusecs)
01/01/2018,0,513,0,0,0
02/01/2018,1,511,0,0,0
03/01/2018,2,509,0,0,0
04/01/2018,3,507,0,0,0
05/01/2018,4,505,0,0,0
06/01/2018,5,503,0,0,0
07/01/2018,6,501,0,0,0
08/01/2018,7,499,0,0,0
09/01/2018,8,497,0,0,0
10/01/2018,9,495,0,0,0
11/01/2018,10,493,0,0,0
12/01/2018,11,491,0,0,0
13/01/2018,12,489,0,0,0
14/01/2018,13,487,0,0,0
15/01/2018,14,485,0,0,0
16/01/2018,15,483,0,0,0
17/01/2018,16,481,0,0,0
18/01/2018,17,479,0,0,0
19/01/2018,18,477,0,0,0
20/01/2018,19,475,0,0,0
21/01/2018,20,473,0,0,0
22/01/2018,21,471,0,0,0
23/01/2018,22,469,0,0,0
24/01/2018,23,467,0,0,0
25/01/2018,24,465,0,0,0
26/01/2018,25,463,0,0,0
27/01/2018,26,461,0,0,0
28/01/2018,27,459,0,0,0
29/01/2018,28,457,0,0,0
30/01/2018,29,455,0,0,0
31/01/2018,30,453,0,0,0
01/02/2018,31,451,0,0,0
02/02/2018,32,449,0,0,0
03/02/2018,33,448,0,0,0
04/02/2018,34,446,0,0,0
05/02/2018,35,445,0,0,0
06/02/2018,36,443,0,0,0
07/02/2018,37,442,0,0,0
08/02/2018,38,440,0,0,0
09/02/2018,39,438,0,0,0
10/02/2018,40,437,0,0,0
11/02/2018,41,435,0,0,0
12/02/2018,42,434,0,0,0
13/02/2018,43,432,0,0,0
14/02/2018,44,430,0,0,0
15/02/2018,45,429,0,0,0
16/02/2018,46,427,0,0,0
17/02/2018,47,426,0,0,0
18/02/2018,48,424,0,0,0
19/02/2018,49,423,0,0,0
20/02/2018,50,421,0,0,0
21/02/2018,51,420,0,0,0
22/02/2018,52,418,0,0,0
23/02/2018,53,417,0,0,0
24/02/2018,54,415,0,0,0
25/02/2018,55,414,0,0,0
26/02/2018,56,412,0,0,0
27/02/2018,57,409,0,0,50
28/02/2018,58,403,0,0,50
01/03/2018,59,398,0,0,50
02/03/2018,60,393,0,0,50
03/03/2018,61,389,0,0,50
04/03/2018,62,384,0,0,50
05/03/2018,63,379,0,0,50
06/03/2018,64,374,0,0,50
07/03/2018,65,369,0,0,50
08/03/2018,66,364,0,0,50
09/03/2018,67,359,0,0,50
10/03/2018,68,354,0,0,50
11/03/2018,69,349,0,0,50
12/03/2018,70,344,0,0,50
13/03/2018,71,334,0,0,120
14/03/2018,72,326,0,0,120
15/03/2018,73,318,0,0,120
16/03/2018,74,310,0,0,120
17/03/2018,75,302,0,1,120
18/03/2018,76,294,0,0,120
19/03/2018,77,286,0,0,120
20/03/2018,78,276,0,0,120
21/03/2018,79,266,0,0,120
22/03/2018,80,249,0,0,200
23/03/2018,81,232,0,0,20
24/03/2018,82,214,0,0,200
25/03/2018,83,196,0,0,200
26/03/2018,84,178,0,0,200
27/03/2018,85,160,0,0,200
28/03/2018,86,142,0,0,200
29/03/2018,87,128,0,0,170
30/03/2018,88,115,0,0,150
31/03/2018,89,106,0,0,120
01/04/2018,90,100,0,0,80
02/04/2018,91,96,0,0,50
03/04/2018,92,93,0,0,30
04/04/2018,93,91,0,0,25
05/04/2018,94,89,0,0,25
06/04/2018,95,87,0,0,25
07/04/2018,96,85,0,0,20
08/04/2018,97,83,0,0,20
09/04/2018,98,82,0,0,15
10/04/2018,99,81,0,0,12
11/04/2018,100,80,0,0,12
12/04/2018,101,79,0,0,12
13/04/2018,102,78,0,0,12
14/04/2018,103,77,0,0,10
15/04/2018,104,76,0,0,10
16/04/2018,105,75,0,0,10
17/04/2018,106,74,0,0,10
18/04/2018,107,73,0,0,10
19/04/2018,108,72,0,0,10
20/04/2018,109,72,0,0,5
21/04/2018,110,72,0,0,5
22/04/2018,111,71,0,0,5
23/04/2018,112,71,0,0,5
24/04/2018,113,71,0,0,5
25/04/2018,114,71,0,0,5
26/04/2018,115,71,0,0,5
27/04/2018,116,71,0,0,3
28/04/2018,117,71,0,0,3
29/04/2018,118,70,0,0,3
30/04/2018,119,70,0,0,3
01/05/2018,120,70,0,0,2
02/05/2018,121,70,0,0,2
03/05/2018,122,70,0,0,2
04/05/2018,123,70,0,0,2
05/05/2018,124,70,0,0,0
06/05/2018,125,70,0,0,0
07/05/2018,126,70,0,0,0
08/05/2018,127,70,0,0,0
09/05/2018,128,70,0,0,0
10/05/2018,129,70,0,0,0
11/05/2018,130,70,0,0,0
12/05/2018,131,70,0,0,0
13/05/2018,132,70,0,0,0
14/05/2018,133,70,0,0,0
15/05/2018,134,70,0,0,0
16/05/2018,135,70,0,0,0
17/05/2018,136,70,0,0,0
18/05/2018,137,70,0,0,0
19/05/2018,138,69,0,0,0
20/05/2018,139,69,0,0,0
21/05/2018,140,69,0,0,0
22/05/2018,141,69,0,0,0
23/05/2018,142,69,0,0,0
24/05/2018,143,69,0,0,0
25/05/2018,144,69,0,0,0
26/05/2018,145,69,0,0,0
27/05/2018,146,69,0,0,0
28/05/2018,147,69,0,0,0
29/05/2018,148,69,0,0,0
30/05/2018,149,68,0,0,0
31/05/2018,150,68,0,0,0
01/06/2018,151,68,0,0,0
02/06/2018,152,68,0,0,0
03/06/2018,153,68,0,0,0
04/06/2018,154,68,0,0,0
05/06/2018,155,68,0,0,0
06/06/2018,156,68,0,0,0
07/06/2018,157,68,0,15,0
08/06/2018,158,68,0,0,0
09/06/2018,159,68,0,0,0
10/06/2018,160,68,0,0,0
11/06/2018,161,68,0,0,0
12/06/2018,162,68,0,0,0
13/06/2018,163,68,0,0,0
14/06/2018,164,68,0,0,0
15/06/2018,165,68,0,0,0
16/06/2018,166,68,0,4,0
17/06/2018,167,68,0,0,0
18/06/2018,168,68,0,3,0
19/06/2018,169,68,0,0,0
20/06/2018,170,68,0,0,0
21/06/2018,171,68,0,0,0
22/06/2018,172,68,0,0,0
23/06/2018,173,68,0,0,0
24/06/2018,174,68,0,2,0
25/06/2018,175,68,0,3,0
26/06/2018,176,67,0,0,10
27/06/2018,177,66,0,0,13
28/06/2018,178,65,0,1,13
29/06/2018,179,64,0,3,13
30/06/2018,180,63,0,0,13
01/07/2018,181,61,0,0,13
02/07/2018,182,60,0,0,13
03/07/2018,183,59,0,22,13
04/07/2018,184,58,0,0,13
05/07/2018,185,57,0,0,13
06/07/2018,186,56,0,0,13
07/07/2018,187,55,0,0,13
08/07/2018,188,53,0,0,13
09/07/2018,189,52,0,0,13
10/07/2018,190,51,0,5,13
11/07/2018,191,50,0,0,13
12/07/2018,192,49,0,14,13
13/07/2018,193,48,0,5,13
14/07/2018,194,47,0,0,13
15/07/2018,195,46,0,0,13
16/07/2018,196,44,0,0,13
17/07/2018,197,43,0,0,13
18/07/2018,198,42,0,0,13
19/07/2018,199,41,0,0,13
20/07/2018,200,40,0,0,13
21/07/2018,201,39,0,0,13
22/07/2018,202,38,0,0,13
23/07/2018,203,37,0,0,13
24/07/2018,204,35,0,0,13
25/07/2018,205,34,0,0,13
26/07/2018,206,33,0,0,13
27/07/2018,207,32,0,0,13
28/07/2018,208,31,0,0,13
29/07/2018,209,30,0,0,13
30/07/2018,210,29,0,0,13
31/07/2018,211,27,0,0,13
01/08/2018,212,26,0,0,13
02/08/2018,213,25,0,0,13
