Date,nth day in year,Storage (mcft),Inflow (cusecs),Rainfall (mm),Outflow (cusecs)
01/01/2018,0,1012,0,0,26
02/01/2018,1,1012,21,0,26
03/01/2018,2,1012,72,0,26
04/01/2018,3,1014,114,0,26
05/01/2018,4,1018,132,0,26
06/01/2018,5,1024,166,0,26
07/01/2018,6,1032,252,0,26
08/01/2018,7,1042,234,0,26
09/01/2018,8,1055,255,0,26
10/01/2018,9,1070,237,0,26
11/01/2018,10,1084,188,0,26
12/01/2018,11,1096,263,0,26
13/01/2018,12,1108,276,0,26
14/01/2018,13,1124,295,0,26
15/01/2018,14,1140,315,0,26
16/01/2018,15,1152,319,0,26
17/01/2018,16,1161,307,0,28
18/01/2018,17,1172,311,0,28
19/01/2018,18,1180,309,0,28
20/01/2018,19,1191,293,0,28
21/01/2018,20,1204,283,0,34
22/01/2018,21,1215,285,0,34
23/01/2018,22,1229,286,0,34
24/01/2018,23,1237,284,0,34
25/01/2018,24,1255,330,0,36
26/01/2018,25,1273,335,0,36
27/01/2018,26,1292,350,0,37
28/01/2018,27,1310,350,0,36
29/01/2018,28,1329,350,0,37
30/01/2018,29,1348,330,0,38
31/01/2018,30,1367,330,0,35
01/02/2018,31,1387,350,0,44
02/02/2018,32,1406,360,0,46
03/02/2018,33,1426,360,0,45
04/02/2018,34,1446,370,0,39
05/02/2018,35,1467,370,0,46
06/02/2018,36,1487,375,0,45
07/02/2018,37,1518,400,0,48
08/02/2018,38,1540,400,2,49
09/02/2018,39,1561,400,0,48
10/02/2018,40,1582,400,0,47
11/02/2018,41,1604,380,0,48
12/02/2018,42,1626,350,0,49
13/02/2018,43,1637,320,0,48
14/02/2018,44,1648,350,0,48
15/02/2018,45,1671,380,0,48
16/02/2018,46,1693,380,0,49
17/02/2018,47,1712,380,0,49
18/02/2018,48,1739,450,0,52
19/02/2018,49,1763,500,0,52
20/02/2018,50,1791,540,0,52
21/02/2018,51,1821,540,0,52
22/02/2018,52,1850,500,0,52
23/02/2018,53,1874,480,0,52
24/02/2018,54,1899,480,0,53
25/02/2018,55,1924,500,0,52
26/02/2018,56,1950,500,0,52
27/02/2018,57,1968,450,0,52
28/02/2018,58,1993,445,0,155
01/03/2018,59,2011,440,0,232
02/03/2018,60,2021,348,0,232
03/03/2018,61,2031,349,0,233
04/03/2018,62,2041,348,0,232
05/03/2018,63,2051,348,0,232
06/03/2018,64,2057,302,0,233
07/03/2018,65,2059,255,0,232
08/03/2018,66,2059,233,0,233
09/03/2018,67,2057,219,0,233
10/03/2018,68,2054,200,0,233
11/03/2018,69,2039,178,0,358
12/03/2018,70,2018,114,0,358
13/03/2018,71,1997,114,0,356
14/03/2018,72,1980,140,0,357
15/03/2018,73,1965,120,0,414
16/03/2018,74,1943,140,0,414
17/03/2018,75,1921,135,5,414
18/03/2018,76,1899,135,2,414
19/03/2018,77,1882,120,0,414
20/03/2018,78,1869,80,0,414
21/03/2018,79,1857,70,0,414
22/03/2018,80,1845,75,0,415
23/03/2018,81,1833,70,0,415
24/03/2018,82,1820,30,0,415
25/03/2018,83,1809,30,0,415
26/03/2018,84,1790,20,0,414
27/03/2018,85,1774,0,0,415
28/03/2018,86,1739,0,0,415
29/03/2018,87,1705,0,0,412
30/03/2018,88,1675,0,0,411
31/03/2018,89,1644,0,0,412
01/04/2018,90,1611,0,0,415
02/04/2018,91,1580,0,0,415
03/04/2018,92,1549,0,0,415
04/04/2018,93,1518,0,0,415
05/04/2018,94,1487,0,0,411
06/04/2018,95,1446,0,0,501
07/04/2018,96,1406,0,0,501
08/04/2018,97,1365,0,0,501
09/04/2018,98,1325,0,0,501
10/04/2018,99,1284,0,0,497
11/04/2018,100,1244,0,0,497
12/04/2018,101,1204,0,0,497
13/04/2018,102,1163,0,0,497
14/04/2018,103,1126,0,0,444
15/04/2018,104,1090,0,0,444
16/04/2018,105,1055,0,0,444
17/04/2018,106,1018,0,0,444
18/04/2018,107,983,0,0,443
19/04/2018,108,948,0,0,443
20/04/2018,109,900,0,0,593
21/04/2018,110,852,0,0,593
22/04/2018,111,804,0,0,593
