Date,nth day in year,Storage (mcft),Inflow (cusecs),Rainfall (mm),Outflow (cusecs)
01/01/2018,0,1585,0,0,84
02/01/2018,1,1578,0,0,84
03/01/2018,2,1571,0,0,84
04/01/2018,3,1564,0,0,84
05/01/2018,4,1557,0,0,84
06/01/2018,5,1550,0,0,84
07/01/2018,6,1543,0,0,84
08/01/2018,7,1536,0,0,84
09/01/2018,8,1529,0,0,84
10/01/2018,9,1522,0,0,84
11/01/2018,10,1515,0,0,84
12/01/2018,11,1508,0,0,84
13/01/2018,12,1501,0,0,84
14/01/2018,13,1494,0,0,84
15/01/2018,14,1487,0,0,84
16/01/2018,15,1480,0,0,84
17/01/2018,16,1473,0,0,84
18/01/2018,17,1466,0,0,84
19/01/2018,18,1459,0,0,84
20/01/2018,19,1452,0,0,84
21/01/2018,20,1445,0,0,84
22/01/2018,21,1438,0,0,84
23/01/2018,22,1431,0,0,84
24/01/2018,23,1424,0,0,84
25/01/2018,24,1417,0,0,84
26/01/2018,25,1410,0,0,84
27/01/2018,26,1403,0,0,84
28/01/2018,27,1396,0,0,84
29/01/2018,28,1389,0,0,84
30/01/2018,29,1382,0,0,84
31/01/2018,30,1375,0,0,84
01/02/2018,31,1368,0,0,84
02/02/2018,32,1361,0,0,84
03/02/2018,33,1354,0,0,84
04/02/2018,34,1347,0,0,84
05/02/2018,35,1340,0,0,84
06/02/2018,36,1333,0,0,84
07/02/2018,37,1326,0,0,84
08/02/2018,38,1319,0,0,80
09/02/2018,39,1312,0,0,84
10/02/2018,40,1305,0,0,84
11/02/2018,41,1298,0,0,84
12/02/2018,42,1291,0,0,84
13/02/2018,43,1284,0,0,84
14/02/2018,44,1277,0,0,84
15/02/2018,45,1270,0,0,84
16/02/2018,46,1263,0,0,84
17/02/2018,47,1256,0,0,84
18/02/2018,48,1249,0,0,84
19/02/2018,49,1242,0,0,84
20/02/2018,50,1235,0,0,84
21/02/2018,51,1228,0,0,84
22/02/2018,52,1221,0,0,84
23/02/2018,53,1214,0,0,84
24/02/2018,54,1207,0,0,84
25/02/2018,55,1200,0,0,84
26/02/2018,56,1193,0,0,84
27/02/2018,57,1188,40,0,84
28/02/2018,58,1184,40,0,84
01/03/2018,59,1194,202,0,84
02/03/2018,60,1204,202,0,84
03/03/2018,61,1214,202,0,84
04/03/2018,62,1224,202,0,84
05/03/2018,63,1234,202,0,84
06/03/2018,64,1244,202,0,84
07/03/2018,65,1254,202,0,84
08/03/2018,66,1264,202,0,84
09/03/2018,67,1274,202,0,84
10/03/2018,68,1282,202,0,84
11/03/2018,69,1294,285,0,84
12/03/2018,70,1306,285,0,84
13/03/2018,71,1321,340,0,84
14/03/2018,72,1336,340,0,84
15/03/2018,73,1351,340,0,84
16/03/2018,74,1366,340,0,84
17/03/2018,75,1381,340,8,84
18/03/2018,76,1396,340,0,84
19/03/2018,77,1411,340,0,84
20/03/2018,78,1426,340,0,84
21/03/2018,79,1441,340,0,84
22/03/2018,80,1459,380,0,84
23/03/2018,81,1479,400,0,110
24/03/2018,82,1501,400,0,110
25/03/2018,83,1523,400,0,110
26/03/2018,84,1545,400,0,110
27/03/2018,85,1567,400,0,110
28/03/2018,86,1589,400,0,110
29/03/2018,87,1611,376,0,110
30/03/2018,88,1629,360,0,110
31/03/2018,89,1645,360,0,110
01/04/2018,90,1660,305,0,110
02/04/2018,91,1672,280,0,110
03/04/2018,92,1682,265,0,110
04/04/2018,93,1692,260,0,110
05/04/2018,94,1703,260,0,110
06/04/2018,95,1713,260,0,110
07/04/2018,96,1733,377,0,110
08/04/2018,97,1751,377,0,110
09/04/2018,98,1769,372,0,110
10/04/2018,99,1787,370,0,110
11/04/2018,100,1805,370,0,110
12/04/2018,101,1823,370,0,110
13/04/2018,102,1841,370,0,110
14/04/2018,103,1854,308,0,110
15/04/2018,104,1864,308,0,110
16/04/2018,105,1874,308,0,110
17/04/2018,106,1884,308,0,110
18/04/2018,107,1892,308,0,120
19/04/2018,108,1900,308,0,120
20/04/2018,109,1890,4,0,120
21/04/2018,110,1881,4,0,120
22/04/2018,111,1871,4,0,120
23/04/2018,112,1861,4,0,120
24/04/2018,113,1851,4,0,120
25/04/2018,114,1841,4,0,120
26/04/2018,115,1831,4,0,120
27/04/2018,116,1821,2,0,120
28/04/2018,117,1811,2,0,120
29/04/2018,118,1800,2,0,120
